gene_copy,date,num_date,year,yearday,year_day,new_time,sum_genes,log_gene_copies,epi_week
20000,2022-02-13,22689,2022,44,44,1,20000,4.3010302,7
61900,2022-02-15,22691,2022,46,46,3,61900,4.7916908,7
26300,2022-02-21,22697,2022,52,52,9,26300,4.4199557,8
21300,2022-02-22,22698,2022,53,53,10,21300,4.3283796,8
25500,2022-02-27,22703,2022,58,58,15,25500,4.4065404,9
35300,2022-03-01,22705,2022,60,60,17,35300,4.5477748,9
15900,2022-03-06,22710,2022,65,65,22,15900,4.2013969,10
12600,2022-03-08,22712,2022,67,67,24,12600,4.1003704,10
21900,2022-03-13,22717,2022,72,72,29,21900,4.3404441,11
40800,2022-03-15,22719,2022,74,74,31,40800,4.6106601,11
15800,2022-03-20,22724,2022,79,79,36,15800,4.198657,12
71600,2022-03-22,22726,2022,81,81,38,71600,4.8549132,12
74800,2022-03-27,22731,2022,86,86,43,74800,4.8739014,13
110300,2022-03-29,22733,2022,88,88,45,110300,5.0425754,13
78100,2022-04-03,22738,2022,93,93,50,78100,4.8926511,14
98625,2022-04-05,22740,2022,95,95,52,98625,4.9939871,14
94650,2022-04-10,22745,2022,100,100,57,94650,4.9761205,15
98775,2022-04-12,22747,2022,102,102,59,98775,4.994647,15
57525,2022-04-14,22749,2022,104,104,61,57525,4.7598567,15
92850,2022-04-17,22752,2022,107,107,64,92850,4.967782,16
219825,2022-04-19,22754,2022,109,109,66,219825,5.3420773,16
193125,2022-04-21,22756,2022,111,111,68,193125,5.2858386,16
202200,2022-04-24,22759,2022,114,114,71,202200,5.3057814,17
153900,2022-04-26,22761,2022,116,116,73,153900,5.1872387,17
433200,2022-04-28,22763,2022,118,118,75,433200,5.6366882,17
153600,2022-05-01,22766,2022,121,121,78,153600,5.1863914,18
123450,2022-05-03,22768,2022,123,123,80,123450,5.0914912,18
231300,2022-05-05,22770,2022,125,125,82,231300,5.3641758,18
262875,2022-05-08,22773,2022,128,128,85,262875,5.4197493,19
274275,2022-05-11,22776,2022,131,131,88,274275,5.4381862,19
488025,2022-05-12,22777,2022,132,132,89,488025,5.6884422,19
345600,2022-05-15,22780,2022,135,135,92,345600,5.5385737,20
377775,2022-05-17,22782,2022,137,137,94,377775,5.5772333,20
272925,2022-05-19,22784,2022,139,139,96,272925,5.4360433,20
182775,2022-05-22,22787,2022,142,142,99,182775,5.2619166,21
416325,2022-05-23,22788,2022,143,143,100,416325,5.6194324,21
417900,2022-05-24,22789,2022,144,144,101,417900,5.6210723,21
464775,2022-05-25,22790,2022,145,145,102,464775,5.6672425,21
362550,2022-05-26,22791,2022,146,146,103,362550,5.5593681,21
391950,2022-05-29,22794,2022,149,149,106,391950,5.5932307,22
374250,2022-05-30,22795,2022,150,150,107,374250,5.5731616,22
1293000,2022-05-31,22796,2022,151,151,108,1293000,6.1115985,22
333525,2022-06-01,22797,2022,152,152,109,333525,5.5231285,22
270675,2022-06-02,22798,2022,153,153,110,270675,5.4324479,22
315000,2022-06-05,22801,2022,156,156,113,315000,5.4983106,23
455250,2022-06-06,22802,2022,157,157,114,455250,5.6582499,23
308025,2022-06-07,22803,2022,158,158,115,308025,5.4885859,23
303150,2022-06-08,22804,2022,159,159,116,303150,5.4816575,23
256575,2022-06-09,22805,2022,160,160,117,256575,5.4092145,23
382875,2022-06-12,22808,2022,163,163,120,382875,5.5830569,24
321225,2022-06-13,22809,2022,164,164,121,321225,5.5068092,24
273225,2022-06-14,22810,2022,165,165,122,273225,5.4365206,24
279525,2022-06-15,22811,2022,166,166,123,279525,5.4464207,24
268725,2022-06-16,22812,2022,167,167,124,268725,5.4293079,24
355725,2022-06-19,22815,2022,170,170,127,355725,5.5511146,25
332700,2022-06-20,22816,2022,171,171,128,332700,5.5220528,25
271350,2022-06-21,22817,2022,172,172,129,271350,5.4335299,25
388125,2022-06-22,22818,2022,173,173,130,388125,5.5889716,25
342750,2022-06-23,22819,2022,174,174,131,342750,5.5349774,25
395925,2022-06-26,22822,2022,177,177,134,395925,5.5976129,26
330750,2022-06-27,22823,2022,178,178,135,330750,5.5194998,26
369225,2022-06-28,22824,2022,179,179,136,369225,5.5672913,26
81075,2022-06-29,22825,2022,180,180,137,81075,4.9088869,26
32475,2022-06-30,22826,2022,181,181,138,32475,4.511549,26
57075,2022-07-03,22829,2022,184,184,141,57075,4.7564459,27
103650,2022-07-04,22830,2022,185,185,142,103650,5.0155692,27
250650,2022-07-05,22831,2022,186,186,143,250650,5.3990679,27
205800,2022-07-06,22832,2022,187,187,144,205800,5.3134456,27
263550,2022-07-07,22833,2022,188,188,145,263550,5.4208632,27
136425,2022-07-10,22836,2022,191,191,148,136425,5.1348939,28
263850,2022-07-11,22837,2022,192,192,149,263850,5.4213572,28
